id,name,name_raw,melakarta_num,melakarta_name,arohanam_raw,avarohanam_raw,arohanam,avarohanam,is_melakarta
kanakaambari,Kanakaambari,kanakaambari,1,Kanakaangi,S R1 M1 P D1 S,S N1 D1 P M1 G1 R1 S,S R₁ M₁ P D₁ Ṡ,S N₁ D₁ P M₁ G₁ R₁ Ṡ,False
aurvashreyapriya,AurvashrEyapriyA,aurvashrEyapriyA,1,Kanakaangi,S R1 P D1 N1 S,S N1 D1 P R1 S,S R₁ P D₁ N₁ Ṡ,S N₁ D₁ P R₁ Ṡ,False
ausadishapriya,AuSadIshapriyA,auSadIshapriyA,1,Kanakaangi,S R1 G1 D1 N1 S,S N1 D1 G1 R1 S,S R₁ G₁ D₁ N₁ Ṡ,S N₁ D₁ G₁ R₁ Ṡ,False
bhanupriya,BhAnupriyA,bhAnupriyA,1,Kanakaangi,S R1 G1 M1 P S,S P M1 G1 R1 S,S R₁ G₁ M₁ P Ṡ,S P M₁ G₁ R₁ Ṡ,False
bhogacintamani,BhOgacintAmaNI,bhOgacintAmaNI,1,Kanakaangi,S R1 P M1 P D1 N1 S,S D1 P M1 G1 R1 G1 R1 S,S R₁ P M₁ P D₁ N₁ Ṡ,S D₁ P M₁ G₁ R₁ G₁ R₁ Ṡ,False
bhogacintamani,BhOgacintAmaNi,bhOgacintAmaNi,1,Kanakaangi,S R1 G1 M1 P N1 S,S N1 D1 P M1 G1 R1 S,S R₁ G₁ M₁ P N₁ Ṡ,S N₁ D₁ P M₁ G₁ R₁ Ṡ,False
bhogacintamani,BhOgacintAmaNi,bhOgacintAmaNi,1,Kanakaangi,S R1 M1 P D1 N1 S,S D1 P M1 G1 R1 G1 R1 S,S R₁ M₁ P D₁ N₁ Ṡ,S D₁ P M₁ G₁ R₁ G₁ R₁ Ṡ,False
bhogacintamani,BhOgacintAmaNi,bhOgacintAmaNi,1,Kanakaangi,S R1 P M1 P D1 N1 S,S D1 P M1 G1 R1 S,S R₁ P M₁ P D₁ N₁ Ṡ,S D₁ P M₁ G₁ R₁ Ṡ,False
dhaulika,Dhaulika,dhaulika,1,Kanakaangi,S R1 G1 M1 P N1 D1 S,S N1 D1 M1 G1 R1 S,S R₁ G₁ M₁ P N₁ D₁ Ṡ,S N₁ D₁ M₁ G₁ R₁ Ṡ,False
dhaulika,Dhaulika,dhaulika,1,Kanakaangi,S R1 M1 P D1 N1 S,S N1 D1 M1 G1 R1 S,S R₁ M₁ P D₁ N₁ Ṡ,S N₁ D₁ M₁ G₁ R₁ Ṡ,False
doka,DOkA,DOkA,1,Kanakaangi,S G1 P D1 N1 S,S N1 D1 P G1 S,S G₁ P D₁ N₁ Ṡ,S N₁ D₁ P G₁ Ṡ,False
gaganambari,GaganAmbari,gaganAmbari,1,Kanakaangi,S G1 R1 G1 M1 P D1 N1 D1 S,S N1 D1 P M1 G1 R1 S,S G₁ R₁ G₁ M₁ P D₁ N₁ D₁ Ṡ,S N₁ D₁ P M₁ G₁ R₁ Ṡ,False
gaganambari,GaganAmbari,gaganAmbari,1,Kanakaangi,S R1 G1 M1 P D1 N1 S,S D1 P M1 G1 R1 S,S R₁ G₁ M₁ P D₁ N₁ Ṡ,S D₁ P M₁ G₁ R₁ Ṡ,False
gandharakapani,GAndhArakapANi,gAndhArakapANi,1,Kanakaangi,S G1 M1 P N1 S,S N1 P M1 G1 S,S G₁ M₁ P N₁ Ṡ,S N₁ P M₁ G₁ Ṡ,False
gautami,Gautami,gautami,1,Kanakaangi,S R1 G1 P D1 N1 S,S N1 D1 P G1 R1 S,S R₁ G₁ P D₁ N₁ Ṡ,S N₁ D₁ P G₁ R₁ Ṡ,False
hemangi,HEmAngi,hEmAngi,1,Kanakaangi,S R1 G1 M1 D1 N1 S,S N1 D1 M1 G1 R1 S,S R₁ G₁ M₁ D₁ N₁ Ṡ,S N₁ D₁ M₁ G₁ R₁ Ṡ,False
indrapriya,IndrapriyA,indrapriyA,1,Kanakaangi,S G1 M1 D1 N1 S,S N1 D1 M1 G1 S,S G₁ M₁ D₁ N₁ Ṡ,S N₁ D₁ M₁ G₁ Ṡ,False
kamalini,Kamalini,kamalini,1,Kanakaangi,S R1 G1 M1 P N1 S,S N1 P M1 G1 R1 S,S R₁ G₁ M₁ P N₁ Ṡ,S N₁ P M₁ G₁ R₁ Ṡ,False
kanakambari,KanakAmbari,kanakAmbari,1,Kanakaangi,S R1 M1 P D1 S,S N1 D1 P M1 G1 R1 S,S R₁ M₁ P D₁ Ṡ,S N₁ D₁ P M₁ G₁ R₁ Ṡ,False
kanakambari,KanakAmbari,kanakAmbari,1,Kanakaangi,S G1 R1 G1 M1 P D1 N1 D1 S,S N1 D1 P M1 G1 R1 G1 R1 S,S G₁ R₁ G₁ M₁ P D₁ N₁ D₁ Ṡ,S N₁ D₁ P M₁ G₁ R₁ G₁ R₁ Ṡ,False
kanakambari,KanakAmbari,kanakAmbari,1,Kanakaangi,S G1 R1 G1 M1 P D1 N1 D1 S,S N1 D1 P M1 G1 R1 S,S G₁ R₁ G₁ M₁ P D₁ N₁ D₁ Ṡ,S N₁ D₁ P M₁ G₁ R₁ Ṡ,False
kanakambari,KanakAmbari,kanakAmbari,1,Kanakaangi,S G1 R1 G1 M1 P N1 S D1 S,S N1 D1 P M1 G1 R1 S,S G₁ R₁ G₁ M₁ P N₁ Ṡ D₁ Ṡ,S N₁ D₁ P M₁ G₁ R₁ Ṡ,False
kanakambari,KanakAmbari,kanakAmbari,1,Kanakaangi,S R1 G1 M1 P D1 N1 D1 S,S N1 D1 P M1 G1 R1 G1 R1 S,S R₁ G₁ M₁ P D₁ N₁ D₁ Ṡ,S N₁ D₁ P M₁ G₁ R₁ G₁ R₁ Ṡ,False
kanakambari,KanakAmbari,kanakAmbari,1,Kanakaangi,S R1 G1 M1 P D1 N1 S,S N1 D1 P M1 G1 R1 G1 R1 S,S R₁ G₁ M₁ P D₁ N₁ Ṡ,S N₁ D₁ P M₁ G₁ R₁ G₁ R₁ Ṡ,False
kanakambari,KanakAmbari,kanakAmbari,1,Kanakaangi,S R1 G1 M1 P D1 S,S N1 D1 P M1 G1 R1 S,S R₁ G₁ M₁ P D₁ Ṡ,S N₁ D₁ P M₁ G₁ R₁ Ṡ,False
kanakambari,KanakAmbari,kanakAmbari,1,Kanakaangi,S R1 M1 P D1 S,S N1 D1 M1 G1 R1 S,S R₁ M₁ P D₁ Ṡ,S N₁ D₁ M₁ G₁ R₁ Ṡ,False
kanakangi,KanakAngi,kanakAngi,1,Kanakaangi,S R1 G1 M1 P D1 N1 S,S N1 D1 P M1 G1 R1 S,S R₁ G₁ M₁ P D₁ N₁ Ṡ,S N₁ D₁ P M₁ G₁ R₁ Ṡ,False
kanakatodi,KanakatODi,kanakatODi,1,Kanakaangi,S R1 G1 M1 P D1 S,S N1 D1 P M1 R1 S,S R₁ G₁ M₁ P D₁ Ṡ,S N₁ D₁ P M₁ R₁ Ṡ,False
kantarkapani,KantArkapANi,kantArkapANi,1,Kanakaangi,S G1 M1 P N1 S,S N1 P M1 G1 S,S G₁ M₁ P N₁ Ṡ,S N₁ P M₁ G₁ Ṡ,False
karnatakashuddhasaveri,KarnATakashuddhasAvEri,karnATakashuddhasAvEri,1,Kanakaangi,S R1 M1 P D1 S,S D1 P M1 R1 S,S R₁ M₁ P D₁ Ṡ,S D₁ P M₁ R₁ Ṡ,False
khadgapriya,KhaDgapriyA,khaDgapriyA,1,Kanakaangi,S G1 R1 M1 P D1 P N1 S,S D1 P D1 M1 G1 R1 S,S G₁ R₁ M₁ P D₁ P N₁ Ṡ,S D₁ P D₁ M₁ G₁ R₁ Ṡ,False
